title,director,release_year,description,type,runtime,genres,9.9
14 minutes from earth,"Adam Davis; Jerry Kolber; Trey Nelson; Erich Sturm",2016,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,movie,84,Documentary,5.6
16 blocks,Richard Donner,2006,"Tasked with escorting a prosecution witness to court; an aging cop gears up for the 16-block trek â€“ but they'll be lucky to make it there alive.",movie,102,"Action;Drama;Thriller",6.6
17 again,Burr Steers,2009,"Nearing a midlife crisis; thirty-something Mike wishes for a ""do-over"" â€“ and that's exactly what he gets when he wakes up to find he's 17 again.",movie,102,"Comedy;Drama;Fantasy",6.4
18 presents,Francesco Amato,2020,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,movie,115,Drama,6.7
1898: our last men in the philippines,Salvador Calvo,2016,"While Spain relinquishes its last colonies; a battle-fatigued outpost engages in a long; brutal and sometimes bizarre clash with Filipino insurgents.",movie,105,"Drama;History;War",6.5
1br,David Marmor,2019,"Seeking her independence; a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",movie,90,"Drama;Horror;Thriller",5.8
1st summoning,Raymond Wood,2018,"Student filmmakers uncover occult rituals tied to an abandoned warehouse; then gradually realize the horror is closer than they think.",movie,97,Horror,3.3
2 alone in paris,"Ramzy Bedia; Ã‰ric Judor",2008,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him; even when they're the last two men on Earth.",movie,94,Comedy,5.4
2 states,Abhishek Varman,2014,"Graduate students Krish and Ananya hope to win their parents' approval before they marry; but the two families clash over their cultural differences.",movie,149,"Comedy;Drama;Romance",6.9
20 feet from stardom,Morgan Neville,2013,"Winner of the 2014 Academy Award for Best Documentary Feature; this film takes a look at the world of backup vocalists and the legends they support.",movie,91,"Biography;Documentary;History",7.4
2015 dream concert,,2015,"The world's biggest K-pop festival marked its 21st year in 2015; with groups such as EXO; 4Minute and SHINee electrifying the Seoul World Cup Stadium.",tvSpecial,107,Music,6.2
2036 origin unknown,Hasraf Dulull,2018,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing; a mission controller makes an astonishing discovery.",movie,94,"Action;Sci-Fi;Thriller",4.4
20th century women,Mike Mills,2016,"In 1979; single bohemian mom Dorothea; hoping to help her teen son find his place as a man; asks two young women to share their lives with him.",movie,119,"Comedy;Drama",7.3
21 & over,"Jon Lucas; Scott Moore",2013,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash â€“ the night before a crucial med school interview.,movie,93,Comedy,5.8
21 thunder,,2017,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love; fear; passion and violence.",tvSeries,60,Drama,6.2
2307: winter's dream,Joey Curtis,2016,"In the frozen tundra of a futuristic Arizona where humans have been forced underground; a soldier hunts the bioengineered leader of a rebellion.",movie,101,Sci-Fi,3.8
24 hours to live,Brian Smrz,2017,"Revived by an experimental procedure; a hit man gets to live an extra 24 hours â€“ which he uses to avenge his dead wife and child and redeem himself.",movie,93,"Action;Sci-Fi;Thriller",5.8
25 kille,Simranjit Singh Hundal,2016,"Four brothers learn that they have inherited ancestral land; but must fight to claim it when a greedy feudal lord threatens to take it over.",movie,141,"Comedy;Drama",5.9
26 years,Geun-hyun Cho,2012,"Twenty-six years after the 1980 massacre at Gwangju; South Korea; three relatives of the victims come together to avenge the infamous orchestrator.",movie,135,"Drama;Thriller",6.3
28 days,Betty Thomas,2000,"After her drunken antics result in property damage; an alcoholic journalist enters rehab â€“ and soon meets a fellow resident who changes her outlook.",movie,103,"Comedy;Drama",6.1
3 days to kill,McG,2014,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him â€“ if he can survive its side effects.,movie,117,"Action;Drama;Thriller",6.2
3 deewarein,Nagesh Kukunoor,2003,"A reporter interviews three convicts on death row for a documentary but as their stories emerge; so do her own true motivations for soliciting them.",movie,115,"Crime;Drama",7.8
3 generations,Gaby Dellal,2015,"When teenage Ray begins transitioning from female to male; his single mom and grandmother must cope with the change while tracking down his father.",movie,92,Drama,5.9
3 idiots,Rajkumar Hirani,2009,"While attending one of India's premier colleges; three miserable engineering students and best friends struggle to beat the school's draconian system.",movie,170,"Comedy;Drama",8.4
3 seconds divorce,Shazia Javed,2018,"A Muslim women's activist group in India protests against oral divorces; starting a movement to reclaim their religious and constitutional rights.",movie,54,Documentary,7.2
3 tÃ¼rken & ein baby,Sinan AkkuÅŸ,2015,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.,movie,95,Comedy,5.5
30 days of luxury,Hani Hamdi,2016,"With the help of his friends; a man breaks out of prison in hopes of restoring a lively nightclub.",movie,91,"Comedy;Musical",2.6
30 minutes or less,Ruben Fleischer,2011,Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery â€” with a strict time limit.,movie,83,"Action;Comedy;Crime",6.1
300 miles to heaven,Maciej Dejczer,1989,"Hoping to help their dissident parents; two brothers sneak out of Poland and land as refugees in Denmark; where they are prevented from returning home.",movie,105,"Biography;Drama",7.2
365 days,"Barbara BiaÅ‚owÄ…s; Tomasz Mandes",2020,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss; who imprisons her and gives her one year to fall in love with him.",movie,114,"Drama;Romance",3.2
365 days,"Barbara BiaÅ‚owÄ…s; Tomasz Mandes",2020,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss; who imprisons her and gives her one year to fall in love with him.",tvEpisode,23,Comedy,6.7
42 grams,Jack C. Newell,2017,"After launching a successful underground restaurant out of their apartment; an ambitious chef and his wife open an all-consuming upscale eatery.",movie,82,"Biography;Documentary;Drama",7.1
44 cats,,2018,"Paw-esome tales abound when singing furry friends Lampo; Milady; Pilou and Meatball band together.",tvSeries,13,"Adventure;Animation;Comedy",6.2
45 rpm,,2019,"In 1960s Madrid; music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",tvSeries,50,"Drama;Music",7.3
48 christmas wishes,"Marco Deufemia; Justin G. Dyck",2017,"When a small town's letters to Santa accidentally go up in smoke; two elves venture out of the North Pole to retrieve every missing wish.",tvMovie,84,"Adventure;Comedy;Family",3.9
4l,Gerardo Olivares,2019,"Hoping to reunite with a dying friend; two longtime pals re-create their desert road trip from Spain to Mali; bringing along his estranged daughter.",movie,105,"Comedy;Drama",5.9
4th man out,Andrew Nackman,2015,"A young mechanic comes out to his extremely straight best friends. Once they get used to the idea; they're determined to help him find the right guy.",movie,86,"Comedy;Drama",6.7
4th republic,Ishaya Bako,2019,"After the election-night murder of her campaign manager at a polling site; a gubernatorial candidate challenges the corrupt incumbent's victory.",movie,119,Thriller,6.2
5 flights up,Richard Loncraine,2014,"A couple finds unexpected drama when; after 40 years of living in the same Brooklyn walk-up; they attempt to sell their apartment and buy a new one.",movie,88,"Comedy;Drama",6.2
5 to 7,Victor Levin,2014,A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.,movie,95,"Comedy;Drama;Romance",7.1
50 first dates,Peter Segal,2004,"After falling for a pretty art teacher who has no short-term memory; a marine veterinarian has to win her over again every single day.",movie,99,"Comedy;Drama;Romance",6.8
50 first dates,Peter Segal,2004,"After falling for a pretty art teacher who has no short-term memory; a marine veterinarian has to win her over again every single day.",tvEpisode,20,Comedy,6.5
50/50,Jonathan Levine,2011,An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.,movie,100,"Comedy;Drama;Romance",7.6
5gang,Matei Dima,2019,"To keep the band together; Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter â€” until he gets kidnapped.",movie,100,"Action;Comedy",1.8
6 balloons,Marja Lewis Ryan,2018,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,movie,74,Drama,5.9
6 days,Toa Fraser,2017,"When armed gunmen seize the Iranian Embassy in 1980; a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.",movie,94,"Action;Drama;History",6.2
6 underground,Michael Bay,2019,"After faking his death; a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",movie,128,"Action;Thriller",6.1
6 years,Hannah Fidell,2015,"As a volatile young couple who have been together for six years approach college graduation; unexpected career opportunities threaten their future.",movie,79,"Drama;Romance",5.6
6-5=2,Bharat Jain,2014,"Six friends decide to undertake a grueling mountain trek; only to find that the difficulties in store for them are not merely physical.",movie,104,Horror,4.2
68 kill,Trent Haaga,2017,A hapless guy agrees to help his stunning â€“ but psychotic â€“ girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,movie,93,"Comedy;Crime;Romance",6.0
7 days out,,2018,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports; fashion; space and food.",tvSeries,48,Documentary,6.8
7 khoon maaf,Vishal Bhardwaj,2011,"Spiced liberally with black comedy; this Bollywood drama follows the lethal love life of a woman who marries numerous men â€“ only to find them flawed.",movie,137,"Drama;Mystery;Thriller",6.1
72 cutest animals,,2016,This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,tvMiniSeries,27,Documentary,5.8
9 months that made you,,2016,"Witness the wonders of human gestation through cutting-edge CGI; and learn how those nine months inside the womb can affect all aspects of one's life.",tvSeries,55,Documentary,7.0
90 ml,Anita Udeep,2019,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.,movie,120,Comedy,3.3
93 days,Steve Gukas,2016,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,movie,118,Drama,6.0
a 2nd chance,Clay Glen,2011,"A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach; she has the chance to win a spot on the national team.",movie,90,"Drama;Family;Sport",4.7
a 3 minute hug,Everardo GonzÃ¡lez,2019,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,short,28,"Documentary;Short",6.5
a babysitter's guide to monster hunting,Rachel Talalay,2020,"Recruited by a secret society of babysitters; a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",movie,98,"Comedy;Family;Fantasy",5.4
a bad moms christmas,"Jon Lucas; Scott Moore",2017,"Stressed-out moms Amy; Carla and Kiki are back; and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.",movie,104,Comedy,5.6
a beautiful life,Andrew Lau Wai-Keung,2011,"After meeting under awkward circumstances; a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",movie,124,"Drama;Romance",6.7
a billion colour story,Padmakumar Narasimhamurthy,2016,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.,movie,105,Drama,8.1
a boy called po,John Asher,2016,"After his wife's death; an overworked engineer struggles to care for his son with autism; who regresses into a fantasy world to escape real-life bullying.",movie,95,"Drama;Fantasy",6.6
a bridge too far,Richard Attenborough,1977,This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.,movie,175,"Drama;History;War",7.4
a california christmas,Shaun Paul Piccinino,2020,"With his carefree lifestyle on the line; a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her familyâ€™s land before Christmas.",movie,106,"Comedy;Drama;Romance",5.8
a champion heart,David de Vos,2018,"When a grieving teen must work off her debt to a ranch; she cares for a wounded horse that teaches her more about healing than she expected.",movie,90,Family,5.8
a chaster marriage,Umut Kirca,2016,"Forced to wed his childhood friend; a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves.",movie,98,"Comedy;Family;Romance",5.4
a choo,"Kevin Ko; Peter Tsi",2020,"Determined to win the heart of his childhood crush from orphanage; EJ becomes a boxer with superpowers and soon confronts a formidable villain.",movie,102,"Fantasy;Romance",5.3
a christmas prince,Alex Zamm,2017,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,movie,92,"Comedy;Family;Romance",5.8
a christmas prince: the royal baby,John Schultz,2019,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first; Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",movie,84,"Family;Romance",5.4
a christmas prince: the royal wedding,John Schultz,2018,"A year after helping Richard secure the crown; Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",movie,92,"Drama;Romance",5.3
a cinderella story,Mark Rosman,2004,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,movie,95,"Comedy;Family;Romance",5.9
a cinderella story: christmas wish,Michelle Johnston,2019,"Despite her vain stepmother and mean stepsisters; an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.",video,85,"Comedy;Family;Fantasy",5.3
a clockwork orange,Stanley Kubrick,1971,"In this dark satire from director Stanley Kubrick; a young; vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.",movie,136,"Crime;Drama;Sci-Fi",8.3
a dangerous woman,Stephen Gyllenhaal,1993,"At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger; who plays a sheltered; slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners.",movie,102,"Drama;Romance",5.8
a fairly odd summer,Savage Steve Holland,2014,"In this live-action adventure; the gang heads to Hawaii; where Timmy learns the source of all fairy magic is in dangerous hands.",tvMovie,68,"Animation;Comedy;Family",3.8
a fall from grace,Tyler Perry,2020,"When gentle; law-abiding Grace confesses to killing her new husband; her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.",movie,120,"Drama;Fantasy;Thriller",5.9
a family affair,Tom Fassaert,2015,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,movie,82,"Biography;Documentary;Family",8.1
a family affair,Tom Fassaert,2015,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,movie,110,Documentary,7.0
a family man,Mark Williams,2016,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,movie,108,Drama,6.5
a family man,Mark Williams,2016,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,tvEpisode,43,"Crime;Documentary;Mystery",6.9
a family reunion christmas,Robbie Countryman,2019,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,tvMovie,28,"Comedy;Family",5.7
a flying jatt,Remo D'Souza,2016,A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.,movie,151,"Action;Adventure;Comedy",3.0
a futile and stupid gesture,David Wain,2018,"In a brief life full of triumph and failure; ""National Lampoon"" co-founder Doug Kenney built a comedy empire; molding pop culture in the 1970s.",movie,101,"Biography;Comedy",6.8
a ghost story,David Lowery,2017,"Following a fatal car crash; a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.",movie,92,"Drama;Fantasy;Romance",6.9
a glimpse inside the mind of charles swan iii,Roman Coppola,2012,"When his girlfriend walks out and leaves him a wreck; a graphic designer â€“ who seemed to have it all â€“ sets out to discover where he went wrong.",movie,86,Comedy,4.8
a go! go! cory carson christmas,"Stanley Moore; Alex Woo",2020,"When a familiar-looking stranger crashes in without a memory; Cory helps him remember the magic of Christmas to save the holiday for everyone.",tvSpecial,21,"Animation;Family;Short",6.4
a go! go! cory carson halloween,"Alex Woo; Stanley Moore",2020,"Cory; Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?",tvSpecial,24,"Animation;Family;Horror",6.0
a grand night in: the story of aardman,Richard Mears,2015,"Aardman Animations icons Wallace & Gromit; Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.",tvMovie,60,"Documentary;History",7.6
a gray state,Erik Nelson,2017,"This documentary dissects the case of a filmmaker whose death; along with the deaths of his wife and daughter; sparked alt-right conspiracy theories.",movie,93,Documentary,6.2
a haunted house,Michael Tiddes,2013,"This spoof on scary movies follows a young couple settling into a new home; where an evil spirit â€” and horrifyingly hilarious antics â€” await.",movie,86,"Comedy;Fantasy",5.0
a haunting at silver falls: the return,Teo Konuralp,2019,"When the ghost of her serial killer aunt seemingly resurfaces; Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",movie,79,Horror,3.2
a heavy heart,Thomas Stuber,2015,"Long past his heyday; a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal; degenerative neural disorder.",movie,109,Drama,7.1
a home with a view,Herman Yau,2019,"When a neighbor blocks their view of the city with a commercial billboard; a Hong Kong family resorts to drastic; imaginative measures to take it down.",movie,92,"Comedy;Drama",6.0
a kid from coney island,"Coodie; Chike",2019,"From gifted athlete to professional NBA hooper; Coney Island's Stephon Marbury navigates the pressures; pitfalls and peaks of his basketball journey.",movie,95,"Biography;Documentary;Sport",7.1
a kind of murder,Andy Goddard,2016,"Obsessed with an unsolved murder case; a crime novelist stuck in an unhappy marriage fantasizes about killing his wife; who soon turns up dead.",movie,95,"Crime;Drama;Thriller",5.3
a korean odyssey,,2017,A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.,tvSeries,75,"Comedy;Fantasy;Horror",8.1
a leaf of faith,Chris Bell,2018,"This documentary takes a deep dive into the benefits; dangers and lingering questions around Kratom leaf as an alternative to opioid painkillers.",movie,86,Documentary,7.0
a life of speed: the juan manuel fangio story,Francisco Macri,2020,"Juan Manuel Fangio was the Formula One king; winning five world championships in the early 1950s â€” before protective gear or safety features were used.",movie,92,"Biography;Documentary;Sport",6.8
a lion in the house,"Steven Bognar; Julia Reichert",2006,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,movie,225,Documentary,8.7
a little chaos,Alan Rickman,2014,"A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon; she's ensnared in political and romantic complications.",movie,112,"Drama;Romance",6.5
a little help with carol burnett,,2018,"Comedy icon Carol Burnett returns to TV with a panel of clever kids; who help adults and celebrity guests solve their problems with brutal honesty.",tvSeries,23,Talk-Show,6.3
a love story,Maryo J. De los Reyes,2007,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna; but his love is put to the test when he meets stewardess Karyn.",movie,117,"Drama;Romance",6.5
a man called god,,2010,"Raised in America; government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his fatherâ€™s killers.",tvSeries,50,Romance,6.0
a monster calls,J.A. Bayona,2016,"Overwhelmed by his motherâ€™s illness; a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",movie,108,"Adventure;Drama;Family",7.5
a most violent year,J.C. Chandor,2014,Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.,movie,125,"Action;Crime;Drama",7.0
a murder in the park,"Christopher S. Rech; Brandon Kimber",2014,"This documentary excoriates a noted anti-death-penalty activist and his team; whose questionable methods got a convicted killer freed in 1999.",movie,91,"Crime;Documentary;History",7.3
a new capitalism,,2017,"Entrepreneurs worldwide explore alternatives to current capitalist structures; advocating for profitable businesses that also tackle social inequality.",movie,71,Documentary,6.4
a new york christmas wedding,Otoja Abit,2020,"As her wedding nears; a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend.",movie,88,"Drama;Romance",5.4
a night at the roxbury,John Fortenberry,1998,"After a run-in with Richard Grieco; dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch.",movie,82,"Comedy;Music;Romance",6.3
a noble intention,Joram LÃ¼rsen,2015,"In 1888 Amsterdam; a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community.",movie,115,"Drama;History",6.7
a patch of fog,Michael Lennox,2015,"When a guard catches a writer-television host shoplifting; instead of turning him in; he only asks to be a friend; then begins to rule his life.",movie,92,Thriller,6.4
a perfect crime,,2020,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder; an unsolved mystery at the heart of Germany's tumultuous reunification.",tvMiniSeries,40,"Crime;Documentary",7.3
a perfect ending,Nicole Conn,2012,"After confessing an unusual secret; a repressed wife â€“ prompted by her friends â€“ decides to explore her sexuality with a high-priced call girl.",movie,110,"Drama;Romance",5.7
a perfect man,Kees Van Oostrum,2013,"Nina thinks her husband; James; is cheating on her; and she sets out to prove it by calling him and pretending to be another woman.",movie,95,"Drama;Romance",5.2
a plastic ocean,,2016,"When he discovers the world's oceans brimming with plastic waste; a documentary filmmaker investigates the pollution's environmental impacts.",movie,102,Documentary,8.0
a princess for christmas,Michael Damian,2011,"At the invitation of a relative; young Jules Daly travels with her niece and nephew to a castle in Europe; where Jules falls for a dashing prince.",tvMovie,91,"Comedy;Drama;Family",6.4
a remarkable tale,Marina Seresesky,2019,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive; bringing culture shock with them.",movie,93,Comedy,5.3
a scandall,Ishaan Trivedi,2016,"A film school graduate is interested in making a movie about his girlfriend's uncle; who claims that he can see his long-dead daughter.",movie,112,Thriller,3.1
